,0
0,Iowa
1,Kansas
2,Louisiana
3,Michigan
4,Minnesota
5,Mississippi
6,Missouri
7,Montana
8,Nebraska
9,New Hampshire
10,New Jersey
11,New Mexico
12,Oklahoma
13,Pennsylvania
14,Rhode Island
15,Tennessee
16,Virginia
17,West Virginia
18,Wisconsin
